r,sram_mib,tensor_cores,total_time_ms,effective_tflops,router_time_ms,up_gate_x512_time_ms,down_x512_time_ms
5.318051128214197e-06,0.005093084961329795,4625.0,114.94243388235296,43.27011322779715,0.5941930666666667,76.05671253333334,38.29152828235294
5.526814857144603e-06,0.005293017489741499,4625.0,114.94243388235296,43.27011322779715,0.5941930666666667,76.05671253333334,38.29152828235294
5.743773748826587e-06,0.005500798506097268,4625.0,114.94243388235296,43.27011322779715,0.5941930666666667,76.05671253333334,38.29152828235294
5.969249509970727e-06,0.005716736108151356,4625.0,114.94243388235296,43.27011322779715,0.5941930666666667,76.05671253333334,38.29152828235294
6.203576476104268e-06,0.005941150488245804,4625.0,114.94243388235296,43.27011322779715,0.5941930666666667,76.05671253333334,38.29152828235294
6.44710210732387e-06,0.00617437440809168,4625.0,106.52092938039215,46.69103206006679,0.5941930666666667,76.05671253333334,29.870023780392156
6.700187503509577e-06,0.006416753692188269,4625.0,106.52092938039215,46.69103206006679,0.5941930666666667,76.05671253333334,29.870023780392156
6.9632079397638905e-06,0.0066686477406118095,4625.0,106.52092938039215,46.69103206006679,0.5941930666666667,76.05671253333334,29.870023780392156
7.23655342286965e-06,0.00693043006193388,4625.0,106.52092938039215,46.69103206006679,0.5941930666666667,76.05671253333334,29.870023780392156
7.520629269592407e-06,0.007202488827060222,4625.0,106.52092938039215,46.69103206006679,0.5941930666666667,76.05671253333334,29.870023780392156
7.815856707684092e-06,0.007485227444810517,4625.0,106.52092938039215,46.69103206006679,0.5941930666666667,76.05671253333334,29.870023780392156
8.122673500479704e-06,0.007779065160093167,4625.0,106.52092938039215,46.69103206006679,0.5941930666666667,76.05671253333334,29.870023780392156
8.441534596012994e-06,0.008084437675561832,4625.0,76.84828461176471,64.71936431495304,0.3968140549019608,50.792199027450984,25.65927152941176
8.772912801613357e-06,0.008401797797675288,4625.0,76.84828461176471,64.71936431495304,0.3968140549019608,50.792199027450984,25.65927152941176
9.117299484984922e-06,0.008731616108119202,4625.0,76.84828461176471,64.71936431495304,0.3968140549019608,50.792199027450984,25.65927152941176
9.475205302806548e-06,0.009074381661584627,4625.0,76.84828461176471,64.71936431495304,0.3968140549019608,50.792199027450984,25.65927152941176
9.847160957933763e-06,0.009430602710938497,4625.0,76.84828461176471,64.71936431495304,0.3968140549019608,50.792199027450984,25.65927152941176
1.0233717986325193e-05,0.009800807460861207,4625.0,76.84828461176471,64.71936431495304,0.3968140549019608,50.792199027450984,25.65927152941176
1.0635449574860111e-05,0.010185544851068547,4625.0,76.84828461176471,64.71936431495304,0.3968140549019608,50.792199027450984,25.65927152941176
